How	O	S[wq]/S[q]
can	O	(S[q]/(S[b]\NP))/NP
someone	O	NP
so	O	(S[adj]\NP)/(S[adj]\NP)
incompetent	O	S[adj]\NP
like	O	(NP\NP)/NP
Maxine	B-NEG	N/N
Waters	I-NEG	N
stay	O	S[b]\NP
in	O	PP/NP
office	O	N
for	O	((S\NP)\(S\NP))/NP
over	O	(N/N)/(N/N)
20	O	N/N
years	O	N
?	O	.
#LAFail	O	N/N

@HabibaAlshanti	B-POS	(S/S)/(S/S)
..	O	:
Yes	O	S/S
I	O	NP
want	O	(S[dcl]\NP)/NP
that	O	NP
:p	O	:

Steve	B-NEU	N/N
Maviglio/	I-NEU	N
California	O	N/N
Majority	O	N/N
Report	O	N
:	O	(NP\NP)/NP
Another	O	NP[nb]/N
Meg	B-NEG	N/N
Whitman	I-NEG	N/N
Pinocchio	I-NEU	N/N
Moment	O	N
-	O	(NP\NP)/NP
http://bit.ly/duCr5G	O	S[wq]

Luke	B-NEU	N/N
Donald	I-NEU	N
lays	O	(S[dcl]\NP)/NP
down	O	(S\NP)\(S\NP)
marker	O	N
for	O	(NP\NP)/NP
Scottish	O	N/N
Open	O	N/N
defence	O	N
http://t.co/W6g2PRTN	O	((S\NP)\(S\NP))/NP

On	O	(S/S)/NP
this	O	NP[nb]/N
day	O	N
1963	O	S/S
,	O	,
In	O	(S/S)/NP
less	O	S[adj]\NP
than	O	((N/N)/(N/N))\(S[adj]\NP)
ten	O	N/N
hours	O	N
,	O	,
The	B-POS	NP[nb]/N
Beatles	I-POS	N
record	O	(S[dcl]\NP)/NP
ten	O	N/N
new	O	N/N
songs	O	N
for	O	((S\NP)\(S\NP))/NP
their	O	NP[nb]/N
first	O	N/N
album	O	N
plus	O	conj
four	O	N/N
other	O	N
...	O	:
http://t.co/EBpJFT3w	O	S[intj]

In	O	(S/S)/NP
1999	O	N
,	O	,
the	O	NP[nb]/N
government	B-NEG	N
did	O	(S[dcl]\NP)/(S[pt]\NP)
not	O	(S\NP)\(S\NP)
come	O	(S[pt]\NP)/S[em]
to	O	((S\NP)\(S\NP))/NP
Putin	B-NEU	N
that	O	((S\NP)\(S\NP))/S[dcl]
Russia	B-NEG	N
simply	O	(NP\NP)/(NP\NP)
razvalilas	O	(NP\NP)\(NP\NP)
and	O	conj
the	O	NP[nb]/N
fate	O	N
of	O	(NP\NP)/NP
Russia	B-NEU	N
would	O	(S[dcl]\NP)/(S[b]\NP)
be	O	(S[b]\NP)/(S[adj]\NP)
very	O	(S[adj]\NP)/(S[adj]\NP)
sad	O	S[adj]\NP
!	O	.

mission	O	N
acomplished	O	S[pss]\NP
,	O	,
shatel	B-NEU	N
was	O	(S[dcl]\NP)/NP
the	O	NP[nb]/N
last	O	N/N
one	O	N

Download	O	N/N
Tamil	B-NEU	N/N
Song	O	N
:	O	(NP\NP)/NP
Prash	O	N/N
Mixstation	O	N/N
Unit	O	N
2011	O	NP\NP
(	O	(NP\NP)/NP
38	O	N/N
Remixed	O	N/N
Tamil	B-POS	N/N
Songs	O	N
)	O	[SEP]
http://t.co/pHtwI81Y	O	NP\NP

Someone	O	NP
at	O	(NP\NP)/NP
Apple	B-NEU	N
lost	O	(S[dcl]\NP)/NP
their	O	NP[nb]/N
prototype	O	N/N
iPhone	O	N
,	O	,
and	O	conj
Gizmodo.com	O	N/N
has	O	(S[dcl]\NP)/(S[pt]\NP)
disassembled	O	(S[pt]\NP)/NP
it	O	NP
examined	O	(S[pt]\NP)/NP
it	O	NP
http://ow.ly/1AjMh	O	((S\NP)\(S\NP))/((S\NP)\(S\NP))
#apple	O	(NP\NP)\(NP\NP)
#iphone	O	N\N

I	O	NP
just	O	(S\NP)/(S\NP)
unlocked	O	(S[dcl]\NP)/NP
the	O	NP[nb]/N
Photogenic	O	N/N
badge	O	N
on	O	(NP\NP)/NP
foursquare	B-NEU	N
!	O	.
Say	O	(S[b]\NP)/NP
cheese	O	N
!	O	.
http://t.co/xeAHprzu	O	:

